Round,WinnerID,LoserID,Scores
Round of 32 #13,fprtm|65333,fprtm|87128,"10,10,-4,6"
Round of 32 #12,fprtm|33416,"fprtm|19287,stadium-tt|38116","-9,-8,8,3,3"
Round of 32 #11,fprtm|25014,fprtm|52487,"3,-8,-7,10,9"
Round of 32 #2,fprtm|76542,fprtm|69177,"-13,8,6,-3,3"
Round of 32 #1,fprtm|57447,fprtm|99353,"-5,5,5,4"
Quarterfinal #3,fprtm|54597,fprtm|95181,"-7,4,2,-9,5"
Quarterfinal #2,fprtm|28289,fprtm|57400,"10,4,8"
Group 2 (B vs. D),fprtm|28289,fprtm|37869,"9,3,5"
Group 2 (A vs. C),fprtm|24592,fprtm|57400,"4,8,5"
Group 1 (A vs. C),fprtm|93810,fprtm|54597,"8,9,2"
Group 10 (A vs. C),fprtm|82512,fprtm|86503,"5,6,-8,9"
Group 9 (A vs. C),fprtm|60432,fprtm|98259,"9,9,9"
Group 8 (A vs. C),fprtm|88172,fprtm|97684,"-7,-5,6,8,8"
Group 7 (A vs. C),fprtm|65333,"fprtm|19287,stadium-tt|38116","12,2,6"
Group 6 (A vs. C),fprtm|69177,fprtm|30969,"-10,8,10,8"
Group 5 (A vs. C),fprtm|24371,fprtm|87128,"-7,8,-8,9,5"
Group 4 (A vs. C),fprtm|92240,fprtm|57576,"3,10,-9,3"
Group 3 (A vs. C),fprtm|16175,fprtm|72296,"6,3,6"
Group 11 (A vs. C),fprtm|65444,fprtm|25014,"-8,7,14,-10,5"
Group 2 (A vs. C),fprtm|74686,fprtm|21226,"-9,-8,11,6,9"
Group 1 (A vs. B),fprtm|57447,fprtm|52487,"3,8,-6,6"
Group 10 (B vs. C),fprtm|71953,fprtm|34914,"6,10,5"
Group 9 (B vs. C),fprtm|41850,fprtm|76768,"7,6,-10,8"
Group 8 (B vs. C),fprtm|34957,fprtm|19099,"-6,10,5,5"
Group 7 (B vs. C),fprtm|96374,fprtm|57795,"3,3,9"
Group 6 (B vs. C),fprtm|98259,fprtm|27154,"8,11,9"
Group 5 (B vs. C),fprtm|41285,fprtm|17944,"4,-2,7,6"
Group 4 (B vs. C),fprtm|35112,fprtm|86503,"4,8,-8,-6,7"
Group 3 (B vs. C),"stadium-tt|7213,fprtm|40982",fprtm|38534,"-7,4,10,11"
Group 14 (B vs. C),"fprtm|19287,stadium-tt|38116",,"4,3,4"
Group 13 (B vs. C),fprtm|41195,fprtm|97062,"6,6,8"
Group 12 (B vs. C),fprtm|27342,fprtm|15817,"4,4,8"
Group 11 (B vs. C),fprtm|85525,fprtm|43386,"7,6,-7,-8,6"
Group 2 (B vs. C),fprtm|48890,fprtm|11934,"-9,10,9,3"
Group 1 (B vs. C),fprtm|59672,fprtm|85914,"2,2,5"
Group 8 (B vs. C),fprtm|90676,fprtm|42772,"7,4,8"
Group 7 (B vs. C),fprtm|84593,fprtm|79983,"9,11,8"
Group 6 (B vs. C),fprtm|33583,fprtm|90854,"9,3,9"
Group 5 (B vs. C),fprtm|92264,fprtm|81020,"5,8,2"
Group 4 (B vs. C),fprtm|60523,fprtm|21847,"-11,2,4,10"
Group 3 (B vs. C),fprtm|63279,fprtm|43130,"4,2,6"
Group 2 (B vs. C),fprtm|36306,fprtm|27578,"8,-9,-9,5,5"
Group 10 (A vs. B),fprtm|71953,fprtm|40161,"9,-9,17,8"
Group 9 (A vs. B),fprtm|41850,fprtm|42493,"-8,4,8,10"
Group 8 (A vs. B),fprtm|34957,fprtm|25860,"6,7,-8,6"
Group 7 (A vs. B),fprtm|95180,fprtm|96374,"7,-9,7,6"
Group 6 (A vs. B),fprtm|50857,fprtm|98259,"8,8,-8,12"
Group 5 (A vs. B),fprtm|17944,fprtm|65461,"6,-7,-6,8,10"
Group 4 (A vs. B),fprtm|35112,fprtm|72296,"4,6,8"
Group 3 (A vs. B),fprtm|96474,"stadium-tt|7213,fprtm|40982","2,9,6"
Group 14 (A vs. B),"fprtm|19287,stadium-tt|38116",fprtm|18834,"5,-9,6,5"
Group 13 (A vs. B),fprtm|40007,fprtm|41195,"10,-10,8,2"
Group 12 (A vs. B),fprtm|27342,fprtm|87128,"8,7,-13,-8,9"
Group 11 (A vs. B),fprtm|38864,fprtm|85525,"7,-8,4,7"
Group 2 (A vs. B),fprtm|73699,fprtm|11934,"3,-9,-7,10,6"
Group 1 (A vs. B),fprtm|57576,fprtm|59672,"8,-9,9,-9,7"
Group 8 (A vs. B),fprtm|90676,fprtm|32810,"11,-14,6,-7,7"
Group 7 (A vs. B),fprtm|84593,,"-0,-0,-0"
Group 6 (A vs. B),fprtm|90854,fprtm|86350,"-0,-0,-0"
Group 5 (A vs. B),fprtm|39007,fprtm|81020,"4,2,1"
Group 4 (A vs. B),fprtm|69929,fprtm|21847,"0,0,4"
Group 3 (A vs. B),fprtm|63264,fprtm|43130,"2,10,8"
Group 2 (A vs. B),fprtm|97153,fprtm|36306,"12,-7,-11,9,8"
Group 10 (A vs. C),fprtm|40161,fprtm|34914,"6,10,5"
Group 9 (A vs. C),fprtm|42493,fprtm|76768,"3,5,7"
Group 8 (A vs. C),fprtm|19099,fprtm|25860,"7,-9,10,4"
Group 7 (A vs. C),fprtm|95180,fprtm|57795,"1,5,2"
Group 6 (A vs. C),fprtm|50857,fprtm|27154,"9,6,-9,8"
Group 5 (A vs. C),fprtm|65461,fprtm|41285,"-10,4,7,9"
Group 4 (A vs. C),fprtm|72296,fprtm|86503,"7,8,10"
Group 3 (A vs. C),fprtm|96474,fprtm|38534,"2,6,4"
Group 14 (A vs. C),fprtm|18834,,"2,4,3"
Group 13 (A vs. C),fprtm|40007,fprtm|97062,"3,2,9"
Group 12 (A vs. C),fprtm|87128,fprtm|15817,"4,2,3"
Group 11 (A vs. C),fprtm|38864,fprtm|43386,"-7,6,-9,9,9"
Group 2 (A vs. C),fprtm|73699,fprtm|48890,"8,11,3"
Group 1 (A vs. C),fprtm|57576,fprtm|85914,"3,5,1"
Group 8 (A vs. C),fprtm|42772,fprtm|32810,"3,4,-10,6"
Group 7 (A vs. C),fprtm|79983,,"-0,-0,-0"
Group 6 (A vs. C),fprtm|33583,fprtm|86350,"0,0,0,-0,-0,-0"
Group 5 (A vs. C),fprtm|39007,fprtm|92264,"6,1,6"
Group 4 (A vs. C),fprtm|69929,fprtm|60523,"4,-8,1,8"
Group 3 (A vs. C),fprtm|63279,fprtm|63264,"5,6,1"
Group 2 (A vs. C),fprtm|27578,fprtm|97153,"9,6,5"
Group 1 (A vs. B),fprtm|74515,fprtm|49240,"5,8,4"
Final,fprtm|63279,fprtm|69929,"7,7,-9,7"
Semifinal #2,fprtm|63279,fprtm|27578,"-8,9,-9,8,4"
Semifinal #1,fprtm|69929,fprtm|74515,"5,13,12"
Quarterfinal #4,fprtm|27578,fprtm|42772,"7,5,-6,4"
Quarterfinal #3,fprtm|63279,fprtm|92264,"5,6,7"
Quarterfinal #2,fprtm|69929,fprtm|39007,"-5,-9,9,9,6"
Quarterfinal #1,fprtm|74515,fprtm|79983,"5,3,6"
Round of 16 #8,fprtm|27578,fprtm|49240,"7,7,8"
Round of 16 #7,fprtm|42772,fprtm|84593,"4,7,8"
Round of 16 #6,fprtm|92264,fprtm|33583,"-7,8,3,-6,8"
Round of 16 #5,fprtm|63279,fprtm|60523,"4,5,6"
Round of 16 #4,fprtm|69929,fprtm|63264,"3,8,6"
Round of 16 #3,fprtm|39007,fprtm|90854,"2,2,8"
Round of 16 #2,fprtm|79983,fprtm|90676,
Round of 16 #1,fprtm|74515,fprtm|36306,"7,3,9"
Round of 32 #10,fprtm|60523,fprtm|21847,"6,8,3"
Round of 32 #7,fprtm|63264,fprtm|81020,"9,9,10"
Round of 32 #6,fprtm|90854,fprtm|86350,"-0,-0,-0"
Round of 32 #15,fprtm|49240,fprtm|43130,
Round of 32 #14,fprtm|42772,fprtm|32810,"6,8,2"
Round of 32 #11,fprtm|92264,,"0,0,0"
Round of 32 #2,fprtm|36306,fprtm|97153,"8,-9,4,-9,9"
Final,fprtm|80678,fprtm|97900,"6,-5,7,9"
Semifinal #2,fprtm|80678,fprtm|69929,"-6,9,3,3"
Semifinal #1,fprtm|97900,fprtm|82512,"-3,4,-7,11,8"
Quarterfinal #4,fprtm|80678,fprtm|78146,"7,2,4"
Quarterfinal #3,fprtm|69929,fprtm|32810,"-5,10,8,7"
Quarterfinal #2,fprtm|97900,fprtm|38016,"7,-9,8,11"
Quarterfinal #1,fprtm|82512,fprtm|84593,"2,2,7"
Round of 16 #2,fprtm|84593,fprtm|63264,"7,7,0"
Group 3 (B vs. C),fprtm|69929,fprtm|63264,"7,4,1"
